id,title,authors,year,venue,link,code_repository,representation,inputs,outputs,central_contribution,major_algorithms,metrics,hardware,runtime,limitations,claims_relevant_to_maveb,overlap_with_candidate_maveb_contribution,potential_unexplored_gap
"p011","CL-Splats: Continual Learning of Gaussian Splatting with Local Optimization","Ackermann et al.","2025","ICCV 2025","https://openaccess.thecvf.com/content/ICCV2025/html/Ackermann_CL-Splats_Continual_Learning_of_Gaussian_Splatting_with_Local_Optimization_ICCV_2025_paper.html","https://github.com/jan-ackermann/cl-splats","continual 3DGS","see paper","see paper","Change detection + restricted-space local optimization + historical recovery.","see paper","see paper","see paper","see paper","see paper","VERY HIGH collision: generic changed-region Gaussian repair/history is occupied.","VERY HIGH collision: generic changed-region Gaussian repair/history is occupied.","tracked in novelty_matrix.md"
"p012","GaussianUpdate: Continual 3D Gaussian Splatting Update for Changing Environments","Zeng et al.","2025","ICCV 2025","https://openaccess.thecvf.com/content/ICCV2025/html/Zeng_GaussianUpdate_Continual_3D_Gaussian_Splatting_Update_for_Changing_Environments_ICCV_2025_paper.html","","continual 3DGS","see paper","see paper","Multi-stage change update plus visibility-aware continual learning/generative replay.","see paper","see paper","see paper","see paper","see paper","VERY HIGH collision for generic continual Gaussian update/history.","VERY HIGH collision for generic continual Gaussian update/history.","tracked in novelty_matrix.md"
"p013","EditSplat: Multi-View Fusion and Attention-Guided Optimization for View-Consistent 3D Scene Editing with 3D Gaussian Splatting","Lee et al.","2025","CVPR 2025","https://openaccess.thecvf.com/content/CVPR2025/","","3DGS editor","see paper","see paper","Multi-view fusion/attention for view-consistent editing.","see paper","see paper","see paper","see paper","see paper","Editing baseline; not obviously a geometric invariance certificate.","Editing baseline; not obviously a geometric invariance certificate.","tracked in novelty_matrix.md"
"p014","InterGSEdit: Interactive 3D Gaussian Splatting Editing with 3D Geometry-Consistent Attention Prior","Wen et al.","2025","ICCV 2025","https://openaccess.thecvf.com/content/ICCV2025/","","3DGS editor","see paper","see paper","Geometry-consistent attention for interactive editing.","see paper","see paper","see paper","see paper","see paper","Threat to vague 'geometry-consistent editing'; MAVEB must define stricter geometry preservation.","Threat to vague 'geometry-consistent editing'; MAVEB must define stricter geometry preservation.","tracked in novelty_matrix.md"
"p015","Gaussian Mapping for Evolving Scenes","Yugay et al.","2026","CVPR 2026","https://openaccess.thecvf.com/content/CVPR2026/html/Yugay_Gaussian_Mapping_for_Evolving_Scenes_CVPR_2026_paper.html","https://github.com/VladimirYugay/GaME","continual RGB-D 3DGS","see paper","see paper","Dynamic scene adaptation plus stale-keyframe management for long-term structural changes.","see paper","see paper","see paper","see paper","see paper","VERY HIGH collision for generic evolving-scene update.","VERY HIGH collision for generic evolving-scene update.","tracked in novelty_matrix.md"
"p016","From Pixels to Primitives: Scene Change Detection in 3D Gaussian Splatting","Galappaththige et al.","2026","arXiv 2605.07203","https://arxiv.org/abs/2605.07203","","independently optimized 3DGS revisions","see paper","see paper","Primitive-space anisotropic geometric/photometric drift with observability.","see paper","see paper","see paper","see paper","see paper","VERY HIGH collision for primitive-space Reality Diff/change typing.","VERY HIGH collision for primitive-space Reality Diff/change typing.","tracked in novelty_matrix.md"
"p017","Consistent Instance Field for Dynamic Scene Understanding","Wu et al.","2026","CVPR 2026","https://openaccess.thecvf.com/content/CVPR2026/html/Wu_Consistent_Instance_Field_for_Dynamic_Scene_Understanding_CVPR_2026_paper.html","","semantic deformable 3D Gaussians","see paper","see paper","Probabilistic occupancy/conditional identity distributions with identity calibration/resampling.","see paper","see paper","see paper","see paper","see paper","VERY HIGH collision for generic persistent Gaussian/object identity.","VERY HIGH collision for generic persistent Gaussian/object identity.","tracked in novelty_matrix.md"
"p018","EliGSiR: Continual RGB-D Mapping with Gaussian Splatting under Bounded Compute","Ellensohn, Rueckert, Rauch","2026","arXiv 2609.20348","https://arxiv.org/abs/2609.20348","","continual RGB-D Gaussian map","see paper","see paper","Map-guided view scheduling, load-adaptive fidelity, targeted geometry growth under bounded compute.","see paper","see paper","see paper","see paper","see paper","VERY HIGH collision for naïve quality-per-ms continual GS scheduling.","VERY HIGH collision for naïve quality-per-ms continual GS scheduling.","tracked in novelty_matrix.md"
"p019","Seele: A Unified Acceleration Framework for Real-Time Gaussian Splatting on Mobile Devices","Zhu et al.","2026","CVPR 2026","https://openaccess.thecvf.com/content/CVPR2026/html/Zhu_Seele_A_Unified_Acceleration_Framework_for_Real-Time_Gaussian_Splatting_on_CVPR_2026_paper.html","https://github.com/SJTU-MVCLab/SeeLe","mobile 3DGS renderer","see paper","see paper","Hybrid preprocessing and contribution-aware rasterization.","see paper","see paper","see paper","see paper","see paper","Generic mobile contribution pruning/acceleration is occupied.","Generic mobile contribution pruning/acceleration is occupied.","tracked in novelty_matrix.md"
"p020","Mobile-GS: Real-time Gaussian Splatting for Mobile Devices","Du et al.","2026","ICLR 2026","https://github.com/xiaobiaodu/Mobile-GS","https://github.com/xiaobiaodu/Mobile-GS","compressed/mobile 3DGS","see paper","see paper","Mobile-oriented rendering/compression.","see paper","see paper","see paper","see paper","see paper","Generic mobile compression/rendering is occupied.","Generic mobile compression/rendering is occupied.","tracked in novelty_matrix.md"
"p021","Fourier Decomposition for Explicit Representation of 3D Point Cloud Attributes","Kim et al.","2025","arXiv 2503.10055","https://arxiv.org/abs/2503.10055","","spectral point-cloud representation","see paper","see paper","Studies amplitude/phase behavior for point-cloud attributes and geometry.","see paper","see paper","see paper","see paper","see paper","Primary mathematical inspiration/threat; does not itself define 3DGS local edit preservation.","Primary mathematical inspiration/threat; does not itself define 3DGS local edit preservation.","tracked in novelty_matrix.md"
"p022","Complex-Valued Holographic Radiance Fields","Zhan et al.","2026","ACM TOG 2026","https://arxiv.org/","","complex-valued radiance/Gaussian field","see paper","see paper","Uses amplitude/phase in a holographic representation.","see paper","see paper","see paper","see paper","see paper","Neighboring phase work; different physical/application semantics.","Neighboring phase work; different physical/application semantics.","tracked in novelty_matrix.md"
"p023","Complex-Valued 2D Gaussian Representation for Computer-Generated Holography","Zhan et al.","2026","ECCV 2026","https://arxiv.org/","","complex 2D Gaussians","see paper","see paper","Complex Gaussian primitives for holography.","see paper","see paper","see paper","see paper","see paper","Neighboring phase representation, not ordinary 3DGS editing.","Neighboring phase representation, not ordinary 3DGS editing.","tracked in novelty_matrix.md"
"p024","Hybrid Mesh-Gaussian Representation for Efficient Indoor Scene Reconstruction","authors per paper","2025","arXiv","https://arxiv.org/","","mesh + Gaussian by region","see paper","see paper","Assigns mesh/Gaussian roles to scene regions for efficient reconstruction.","see paper","see paper","see paper","see paper","see paper","Threat to fixed/heuristic regional hybrid allocation; temporal migration remains different.","Threat to fixed/heuristic regional hybrid allocation; temporal migration remains different.","tracked in novelty_matrix.md"
"p025","MaGS: A Mesh-Adsorbed Gaussian Splatting Method for Dynamic Scene Simulation","authors per paper","2025","ICCV 2025","https://openaccess.thecvf.com/content/ICCV2025/","","mesh-adsorbed Gaussians","see paper","see paper","Binds Gaussian appearance to mesh structure for dynamic manipulation/simulation.","see paper","see paper","see paper","see paper","see paper","Hybrid/edit collision; simulation is not MAVEB flagship.","Hybrid/edit collision; simulation is not MAVEB flagship.","tracked in novelty_matrix.md"
"p026","SuperMap: Spatio-Temporal Gaussian Mapping for Long-Term Scene Understanding","authors per preprint","2026","arXiv","https://arxiv.org/","","spatio-temporal Gaussian/object map","see paper","see paper","Long-term association/reactivation and existence/label confidence.","see paper","see paper","see paper","see paper","see paper","Threat to generic object persistence/evidence confidence.","Threat to generic object persistence/evidence confidence.","tracked in novelty_matrix.md"
"p027","GSStream: Adaptive Streaming of 3D Gaussian Splatting","authors per preprint","2026","arXiv","https://arxiv.org/","","streamed 3DGS","see paper","see paper","Viewport/network-aware adaptive Gaussian streaming.","see paper","see paper","see paper","see paper","see paper","Generic adaptive streaming is occupied.","Generic adaptive streaming is occupied.","tracked in novelty_matrix.md"
"p028","Streaming Real-Time Rendered Scenes as 3D Gaussians","authors per preprint","2026","arXiv","https://arxiv.org/","","incrementally streamed 3DGS","see paper","see paper","Streams full/incremental Gaussian scene updates from server-side optimization.","see paper","see paper","see paper","see paper","see paper","Threat to generic Gaussian delta transport; not necessarily persistent semantic world history.","Threat to generic Gaussian delta transport; not necessarily persistent semantic world history.","tracked in novelty_matrix.md"
"p029","Frequency domain point cloud registration based on the Fourier transform","authors per JVCIR 2019 paper","2019","Journal of Visual Communication and Image Representation","https://www.sciencedirect.com/science/article/pii/S1047320319300987","","voxelized point-cloud frequency representation","multiple point clouds","rigid registration","Uses Fourier-domain cross-power/phase methods to estimate point-cloud rotation and translation.","voxelization; Fourier transform; phase/cross-power correlation","registration accuracy","not extracted","not extracted","not extracted","Establishes phase/Fourier point-cloud registration as prior art.","Kills novelty of using spectral phase merely to recover point-cloud displacement.","Local edit-preservation certificate remains a separate question."
"p030","Efficient Estimation of 3D Shifts Between Point Clouds Using Low-Frequency Components of Phase Correlation","Huang, Xu, Hoegner, Stilla","2020","ISPRS Annals","https://isprs-annals.copernicus.org/articles/V-2-2020/227/2020/","","voxelized 3D point clouds / frequency components","point-cloud pairs","3D translation","Estimates 3D shifts from low-frequency phase differences with robust fitting.","3D voxelization; FFT; low-frequency normalized cross-power phase; robust parameter estimation","translation error","not extracted","not extracted","coarse/global registration scope","Directly overlaps the low-frequency phase displacement sanity probe.","Translation-from-phase is established prior art and cannot be a MAVEB novelty claim.","A local preservation bound tied to authored edits rather than registration may still differ."
"p031","Robust global registration of point clouds by closed-form solution in the frequency domain","Xu et al.","2021","ISPRS Journal of Photogrammetry and Remote Sensing","https://www.sciencedirect.com/science/article/abs/pii/S092427162030321X","","voxelized point cloud in 3D Fourier domain","low-overlap/noisy point-cloud pairs","rotation, scale, translation registration","Decouples rigid/similarity registration in frequency domain and solves shifts with robust phase correlation.","3D FFT; Fourier-Mellin style decoupling; robust phase correlation; low-frequency fitting","rotation/translation registration errors","not extracted","not extracted","global registration rather than Gaussian-edit preservation","Strong prior art for robustness of phase correlation to noise/outliers/uneven point density.","Kills any claim that phase-based displacement robustness under resampling is new.","Use as a baseline or component only."
"p032","Abstract Rendering: Certified Rendering Under 3D Semantic Uncertainty","Ji, Li, Zhong, Zhang, Mitra","2025","NeurIPS 2025","https://proceedings.neurips.cc/paper_files/paper/2025/hash/976c391cba6bf0bb70f6edd7f89cd23c-Abstract-Conference.html","https://github.com/IllinoisReliableAutonomyGroup/Abstract-Rendering","3D Gaussian Splats and NeRF","scene plus continuous camera/scene uncertainty sets","provable per-pixel rendered-image bounds and downstream certification","Piecewise-linear abstract rendering bounds through projection, sorting and cumulative alpha aggregation; scales to scenes with up to 1M Gaussians.","linear relational approximations; abstract sorting/aggregation; auto_LiRPA/CROWN integration","bound tightness and downstream certification","GPU/CUDA implementation","see paper/repository","targets uncertainty sets and downstream certification, not specifically post-edit protected-region locality","Certified 3DGS rendering is established prior art.","Strong collision for any broad 'first certified 3DGS rendering' claim.","A fixed-camera, concrete pre/post edited-subset alpha-mass locality certificate may be much cheaper and tailored to interactive editing, but must be compared directly."
"p033","Efficient Large-Scale Scene Reconstruction via Semantic-Aware Hybrid Representation","Li, Lin, Guo, Chen","2026","IEEE TVCG 2026","https://hongsong-wang.github.io/TVCG2026/","","textured mesh + 3D Gaussians","large-scale multi-view scene + semantics","hybrid large-scale reconstruction","Semantic-guided hybrid modeling uses mesh for regular geometry and Gaussians for complex detail, with hybrid rendering and adaptive Gaussian sampling.","semantic partition / hybrid renderer / mesh-guided Gaussian sampling","quality / storage / rendering speed","CUDA GPU","see paper","see paper","Static adaptive regional mesh/Gaussian assignment is occupied.","High for static region-wise hybrid allocation.","Temporal representation migration as evidence/update rate/resource state evolves."
"p034","What Makes a 3D Scene Editable? A Factorized Benchmark of Fidelity, Locality, Consistency, and Preservation","Sariah Patro, Arjun Mehra, Nikhil Bhatia","2026","arXiv 2609.14899","https://arxiv.org/abs/2609.14899","","representation-agnostic 3D editing benchmark","240 scene-edit pairs; NeRF, 3DGS, hybrid and proxy-based editors","factorized editability profile","EditBench3D evaluates instruction fidelity, spatial locality, held-out-view consistency and preservation of non-target content across five edit families.","visibility-aware 3D target supports + factorized evaluation","fidelity, locality, consistency, non-target preservation","benchmark dependent","see paper","Does not by itself provide a geometric preservation mechanism or formal disturbance certificate.","Direct collision for generic unchanged-world-damage/locality benchmark novelty.","High for evaluation-only UWD; lower for explicit metric geometry bounds/certificates.","A representation-resampling-aware 3D geometric disturbance quantity with a computable certificate integrated into editing."
"p035","Manifold-GS: Certified Hybrid Assets via Varifold-Conservative Gaussian Splatting","Boyang Li","2026","arXiv 2608.00214","https://arxiv.org/abs/2608.00214","","3DGS + discrete unoriented varifold + certified open surface patches + residual splats","trained 3DGS scene","certified hybrid asset with open patches/residual splats","Separates appearance opacity from geometric quadrature mass, uses refinement-conservative varifold mass transport, local realizability diagnostics, source-preserving patch bindings and conservative collision candidates.","varifold-conservative quadrature; patch certification; source bindings","patch-defined edit leakage; texture round-trip PSNR; collision floater area; precision/coverage","see paper","see paper","Precision-coverage tradeoff; local realizability is not sufficient for sparse-view identifiability.","Major collision for any broad 'certified Gaussian asset/editing' or refinement-stable geometric representation claim.","Thematic high; mathematical guarantee differs from H010. Manifold-GS certifies extracted hybrid surface assets and source bindings under refinement, whereas H010 currently bounds additive Gaussian density-field disturbance outside an arbitrary edit volume.","Uniform analytic non-target field/render disturbance bounds for arbitrary Gaussian edits; must prove this is not implicit in Manifold-GS and must compare directly."
"p036","FocusGS: Spatial Delta Layers for Local Repair and Deterministic Editing of Trained 3D Gaussian Assets","Yiqun Pan; Yukun Shi","2026","arXiv 2607.28834","https://arxiv.org/abs/2607.28834","","frozen base 3DGS + composite spatial delta layers","trained 3DGS + target local repair/edit","locally repaired or deterministically edited Gaussian asset","Unifies additive repair and erase-insert deterministic editing through spatial delta layers while freezing global asset and suppressing non-target bleed.","composite spatial delta; erase-insert factorization; local Gaussian optimization; protected-region penalties","target ROI PSNR; target-mask PSNR; target-delta correlation; local repair gains","see paper","minutes-scale local optimization per secondary summary","Retrieved sources do not establish a formal uniform non-target disturbance bound.","Kills novelty of deterministic spatial-delta maintenance/local repair/editing framing.","Very high for local-maintenance system framing; lower for H010 analytic certificate if materially distinct.","A provable outside-region disturbance certificate layered onto deterministic editing rather than another spatial-delta operator."
"p037","Efficient Large-Scale Scene Reconstruction via Semantic-Aware Hybrid Representation","authors per 2026 paper","2026","2026 publication","https://pubmed.ncbi.nlm.nih.gov/42102078/","","semantic-guided mesh + Gaussian hybrid","large-scale scene observations + semantics","hybrid large-scene model","Semantic partitioning selects mesh for regular structures and Gaussians for fine complex detail, with a hybrid renderer and adaptive Gaussian addition.","semantic-guided partition; hybrid rendering; mesh-guided Gaussian sampling","storage/rendering/quality","CUDA-based","see paper","see paper","Further occupies adaptive regional hybrid allocation.","High for static semantic allocation; does not by itself establish temporal migration across revisions.","Continual region migration where the chosen representation changes over time."
"p038","Consistency-preserving Gaussian splatting for block-based large-scale scene reconstruction","Wang et al.","2026","Computers & Graphics","https://www.sciencedirect.com/science/article/pii/S0097849325003346","","block-based 3DGS","large scene blocks","consistent large-scale reconstruction","Boundary/overlap consistency optimization plus multi-scale densification for block-based reconstruction.","boundary consistency; overlap optimization; adaptive densification thresholds","see paper","see paper","see paper","see paper","Threat to generic block/regional consistency claims.","Medium; dependency-local world repair must be about work closure/equivalence, not just seams.","Cross-layer transactional dependency repair under continual changes."
"p039","Adaptive Spatio-Temporal 3D Gaussian Splatting for Scenes with Oscillatory Motion","Tzathas et al.","2026","Computer Graphics Forum / Eurographics 2026","https://repo-sam.inria.fr/nerphys/adaptive-spatio-temporal/","https://github.com/graphdeco-inria/adaptive-spatio-temporal-gaussians","spatio-temporal Gaussians with adaptive temporal density","dynamic scene video","dynamic reconstruction","Adaptive temporal densification, visibility-weighted optimization, and image-driven ARAP regularization.","error-moment densification; temporal keyframes; weighted Adam; ARAP","PSNR/SSIM/LPIPS and dynamic reconstruction metrics","CUDA","see paper","see paper","Dynamic temporal representation allocation already exists at the Gaussian-keyframe level.","Medium; MAVEB S3 must be cross-representation migration, not temporal Gaussian densification.","Migration between TSDF/mesh/Gaussian classes under continual evidence/resource regimes."
"p040","Lazy Incremental Computation for Efficient Scene Graph Rendering","Michael Wörister, Harald Steinlechner, Stefan Maierhofer, Robert F. Tobler","2013","High-Performance Graphics 2013","https://doi.org/10.1145/2492045.2492051","","scene graph + synthesized rendering dependency graph","scene graph and mutable rendering inputs","incrementally updated rendering caches","Synthesizes a dependency graph linking sources of change to affected rendering-cache state, enabling cache updates without full scene-graph traversal.","dependency graph synthesis; lazy incremental cache updates","render/update performance","see paper","see paper","authored scene-graph setting rather than captured-world reconstruction","Kills generic dependency-graph incremental rendering novelty.","High for 'dependency graph avoids full traversal'; MAVEB must distinguish reconstruction-specific heterogeneous evidence closure and output-equivalence/work guarantees.","Observation-to-reconstruction-to-GPU dependency proof across TSDF/mesh/Gaussian/temporal state."
"p041","Self-Adjusting Computation","Umut A. Acar","2005","Carnegie Mellon University PhD thesis","https://csd.cmu.edu/academics/doctoral/degrees-conferred/umut-a-acar","","dynamic dependence graph / self-adjusting computation","computation plus changing external data","change-propagated computation result","Tracks computation dependences and propagates changes through affected computation, with analysis of dependence-tracking overhead and update effectiveness.","dynamic dependence graphs; change propagation; memoization","update work and theoretical/experimental performance","general purpose","see thesis","general computation framework rather than captured 3D world system","Generic change propagation and dependency-based recomputation are longstanding ideas.","Very high at the abstract mechanism level; MAVEB novelty must lie in domain-specific dependency semantics, conservative/exact geometric closure, and measured cross-representation effects.","Captured-world dependency edges with geometry/evidence semantics and hardware/resource side effects."
"p042","An Experimental Analysis of Self-Adjusting Computation","Acar et al.","2009","ACM TOPLAS 32(1)","https://doi.org/10.1145/1596527.1596530","","dynamic dependence graph","changing program inputs","incrementally recomputed program result","Empirically evaluates self-adjusting programs represented by dynamic dependence graphs and re-executes only affected computation.","dynamic dependence graph; change propagation","update-time performance and reuse","general purpose","see paper","not graphics/reconstruction-specific","Further kills generic 'record dependencies and recompute affected pieces' novelty.","Abstract mechanism collision; MAVEB must prove a more specific captured-world property.","Heterogeneous spatial/evidence dependencies plus exact geometry-equivalence tests."
"p043","Efficient Parallel Self-Adjusting Computation","Daniel Anderson, Guy E. Blelloch, Anubhav Baweja, Umut A. Acar","2021","arXiv 2105.06712","https://arxiv.org/abs/2105.06712","","parallel dependence structure","nested parallel computations under input changes","incrementally updated parallel computation","Tracks sequential/parallel dependencies and gives theoretical work/span bounds for change propagation.","Series-Parallel dependency trees; parallel change propagation","work, span, speedup","parallel CPU systems","see paper","general computation not captured-world graphics","A generic bounded-work dependency propagation claim would also collide with established theory.","High conceptually; MAVEB needs domain-specific work measures and geometry/reconstruction correctness rather than generic dependency scheduling.","Spatially bounded cross-representation repair with GPU/temporal side effects."
"p044","LTGS: Long-Term Gaussian Scene Chronology From Sparse View Updates","Minkwan Kim; Seungmin Lee; Junho Kim; Young Min Kim","2026","CVPR 2026 Findings","https://arxiv.org/abs/2510.09881","https://github.com/mkjjang3598/LTGS","initial 3DGS plus reusable object Gaussian templates across temporal revisions","initial reconstructed Gaussian environment plus sparse post-change RGB image sets","chronological temporally updated Gaussian scene","Tracks object-level long-term changes from sparse casual captures and reuses/refines Gaussian object templates instead of rebuilding each time.","camera localization; object-level change detection; instance matching; Gaussian template/point-cloud initialization; long-term update and refinement","paper evaluation includes reconstruction/rendering quality and update efficiency; preserve exact values from raw paper tables before benchmark ingestion","official repository requires CUDA stack; exact paper hardware not transcribed in this refresh","official repository exposes a long-term update pipeline; exact headline runtime values not transcribed in this refresh","object-template chronology occupies broad persistent-history and sparse-update territory; task is Gaussian-centric rather than a demonstrated heterogeneous dependency closure","Kills generic 'chronological Gaussian world from sparse revisits' and reusable persistent object-template novelty.","High overlap with H1/H12 and generic long-term history; lower direct overlap with cross-layer TSDF-mesh-Gaussian-texture-GPU work certificates.","Representation-resampling lineage and end-to-end heterogeneous update-locality/equivalence certification remain candidates only if experimentally distinct."
"p045","CubifyGS: Object-Centric 3D Gaussian Splatting for Lifelong Dynamic Scene Maintenance","Bohan Ren; Dianyi Yang; Shiyang Liu; Yu Gao; Jiadong Tang; Zhilin Lai; Yi Yang; Mengyin Fu","2026","IROS 2026 (accepted; arXiv 2606.28720)","https://arxiv.org/abs/2606.28720","","object-centric reusable 3D Gaussian assets","pre-existing Gaussian map plus observations of rigid object rearrangements","lifelong maintained Gaussian scene with retrieved/transformed/pruned object assets","Moves lifelong Gaussian maintenance toward object asset management with appearance/disappearance handling, rigid asset transforms, pruning, and event-triggered local optimization.","spatio-temporal dynamics perception; global asset retrieval; rigid transformation; explicit pruning; event-triggered affected-region optimization","paper reports artifact suppression and maintenance-efficiency comparisons on a new dynamic benchmark; ingest exact table values separately before use","not transcribed in this refresh","paper reports maintenance-efficiency gains; exact values not transcribed in this refresh","primarily rigid object rearrangement and Gaussian asset maintenance; does not by itself establish MAVEB-style heterogeneous dependency closure","Kills generic reusable Gaussian assets, object-level lifelong maintenance, and event-triggered affected-region optimization as headline novelty.","High overlap with persistent entities, object identity, local changed-region update, and stale-content repair.","Cross-representation dependency-certified work locality, exact/full-rebuild equivalence contracts, and representation migration remain possible only if not subsumed elsewhere."
"p046","SI-Update: Single-Image Semantic 3D Gaussian Map Updating for Long-Term Indoor Scene Changes","Ba-Tuan-Hoang Chu; Phan Thanh Danh; Gon-Woo Kim","2026","SSRN preprint (2026)","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6958781","","semantic object-structured 3D Gaussian map","pre-built semantic 3DGS map plus a single post-change RGB image","updated object submodels and preserved static Gaussian background","Uses semantic correspondence to estimate moved-object transforms from a single post-change image and updates affected object submodels while preserving static content.","semantic object association; single-view rigid pose estimation; selective object-submodel update","real-world indoor scene experiments are reported; exact metrics not transcribed in this refresh","not available in the inspected abstract","not available in the inspected abstract","preprint status; task focuses semantic rigid-object map updates rather than heterogeneous captured-world dependency accounting","Kills generic 'only affected object submodels update while unchanged Gaussians stay untouched' as a novelty statement.","High overlap with H1/H2/H5 at object/Gaussian layer; lower direct overlap with TSDF/mesh/texture/GPU closure.","Absence/observability evidence contracts and cross-layer measured update locality remain candidates, not established novelty."
